Date,Transaction Bucket,Property Type,Community,Property,Bedrooms,Size (Sqf),Amount (AED),AED/Sqf,Developer Group,Developer Raw,Times Sold
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Dubai Internet City,ICONIC Tower by Mered,2 B/R,1616.43,7765539.78,4804.13,Mered Residences L L C,Mered Residences Real Estate L.L.C,1
2026-02-04T00:00:00.000,Off-Plan Property,Apartment,Dubai Maritime City,Breez by Danube,0 B/R,410.65,1801000,4385.77,Danube,Danube Properties,1
2026-02-05T00:00:00.000,Off-Plan Property,Apartment,Business Bay,Sobha Skyparks,2 B/R,1582.31,6843448,4324.98,Sobha,Sobha Real Estate L.L.C,1
2026-02-05T00:00:00.000,Off-Plan Property,Apartment,Dubai Harbour,Damac Bay - Tower C,1 B/R,707.52,3047040,4306.66,Damac,Damac Properties,2
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Dubai Harbour,Sobha Seahaven - Tower A,1 B/R,1168.86,5026055,4299.95,Sobha,Sobha Real Estate L.L.C,1
2026-02-04T00:00:00.000,Off-Plan Property,Apartment,Business Bay,Sobha Skyparks,1 B/R,684.59,2892393,4225,Sobha,Sobha Real Estate L.L.C,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Dubai Islands,Hado by Beyond Tower A,3 B/R,1637.96,6900000,4212.56,Beyond Developments,Beyond Developments,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 5 - Maybach 6 Tower B,0 B/R,341.11,1430000,4192.18,Unknown,Unknown,1
2026-02-06T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 4 - Maybach 6 Tower A,0 B/R,341.11,1429000,4189.25,Unknown,Unknown,1
2026-02-04T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 4 - Maybach 6 Tower A,0 B/R,341.11,1422000,4168.73,Unknown,Unknown,1
2026-02-04T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 4 - Maybach 6 Tower A,0 B/R,341.11,1416000,4151.14,Unknown,Unknown,1
2026-02-06T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 5 - Maybach 6 Tower B,0 B/R,341.11,1411000,4136.48,Unknown,Unknown,1
2026-02-05T00:00:00.000,Off-Plan Property,Apartment,Umm Suqeim Third,Nourelle 1 - Madinat Jumeirah Living,2 B/R,1270.47,5238000,4122.87,Meraas,Meraas Development  L.L.C,1
2026-02-04T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 5 - Maybach 6 Tower B,1 B/R,617.32,2544000,4121.07,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Business Bay,Sobha Skyparks,2 B/R,1229.14,5039433,4099.96,Sobha,Sobha Real Estate L.L.C,1
2026-02-05T00:00:00.000,Off-Plan Property,Apartment,Dubai Harbour,Damac Bay 2 By Cavalli Tower B,2 B/R,1690.38,6886000,4073.64,Damac,Damac Properties,1
2026-02-05T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 4 - Maybach 6 Tower A,0 B/R,341.11,1379000,4042.67,Unknown,Unknown,1
2026-02-04T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 5 - Maybach 6 Tower B,1 B/R,617.32,2489000,4031.97,Unknown,Unknown,1
2026-02-05T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 5 - Maybach 6 Tower B,0 B/R,341.11,1374000,4028.01,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 3 - Maybach Ultimate Luxury Tower B,0 B/R,341.11,1372000,4022.15,Unknown,Unknown,1
2026-02-06T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 5 - Maybach 6 Tower B,0 B/R,341.11,1368000,4010.42,Unknown,Unknown,1
2026-02-06T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 5 - Maybach 6 Tower B,0 B/R,341.11,1368000,4010.42,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 3 - Maybach Ultimate Luxury Tower B,0 B/R,341.11,1366000,4004.56,Unknown,Unknown,1
2026-02-06T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 4 - Maybach 6 Tower A,1 B/R,617.32,2456000,3978.52,Unknown,Unknown,1
