Row Labels,Sum of Amount (AED),Average of AED/Sqf,Count of Property Type,Developer
Mercedes Benz Places Binghatti City Tower 5 - Maybach 6 Tower B," 103,631,000 "," 3,741.61 ",59,Binghatti Holding Limited
Mercedes Benz Places Binghatti City Tower 3 - Maybach Ultimate Luxury Tower B," 24,467,000 "," 3,702.99 ",15,Binghatti Holding Limited
Mercedes Benz Places Binghatti City Tower 4 - Maybach 6 Tower A," 75,083,000 "," 3,675.41 ",49,Binghatti Holding Limited
Mercedes Benz Places Binghatti City Tower 1 - Project Maybach," 25,452,000 "," 3,599.26 ",15,Binghatti Holding Limited
Hado by Beyond Tower B," 64,453,180 "," 3,545.35 ",15,Beyond Developments
Breez by Danube," 38,952,140 "," 3,444.98 ",20,Danube Properties
City Walk Crestlane 5 Building A," 96,706,000 "," 3,406.63 ",21,Meraas Development  L.L.C
City Walk Crestlane 4 Building A," 143,897,000 "," 3,378.79 ",33,Meraas Development  L.L.C
City Walk Crestlane 5 Building B," 72,257,000 "," 3,344.57 ",17,Meraas Development  L.L.C
City Walk Crestlane 4 Building B," 72,529,000 "," 3,319.81 ",16,Meraas Development  L.L.C
Hado by Beyond Tower A," 100,545,000 "," 3,169.44 ",28,Beyond Developments
Hado by Beyond Tower C," 56,071,000 "," 3,152.43 ",19,Beyond Developments
Kanyon by Beyond - Canyon by Beyond," 78,758,460 "," 2,910.95 ",26,Omniyat Properties
Creek Bay Tower A," 58,284,320 "," 2,764.46 ",15,Emaar Properties PJSC
Creek Haven Tower A," 63,796,910 "," 2,710.57 ",21,Emaar Properties PJSC
Altan," 37,676,880 "," 2,345.74 ",10,Emaar Properties PJSC
Wynwood Horizon," 24,254,287 "," 2,331.62 ",10,Imtiaz Real Estate Investment And Development L.L.C
Silva at Green Gate," 30,128,022 "," 2,253.23 ",10,Emaar Properties PJSC
Binghatti Cullinan," 28,674,979 "," 2,225.51 ",21,Binghatti Holding Limited
Greencrest Tower," 26,080,150 "," 2,208.30 ",11,Emaar Properties PJSC
Elmora Residence,11688169,2962.233333,9,Neoterra Residences
Lia Residences,26923000,2980.55,9,Avenew Real Estate Development
Palm Central Residences A,41665000,3568.643333,9,Nakheel PJSC
Palace Residences Hillside A,16694384,2668.15125,8,Emaar Properties PJSC
Safa Gate,15384230,3192.8875,8,Damac Properties
Al Habtoor Tower,26749665.95,2596.981429,7,Al Habtoor Group
Montiva at Green Gate,19454638,2385.447143,7,Emaar Properties PJSC
Franck Muller Yachting by London Gate,10092040,2895.99,6,London Gate Real Estate Development L.L.C
Lyvia by Palace - Green Gate,17300328,2637.568333,6,Emaar Properties PJSC
Palm Central Residences C,29277000,3498.628333,6,Nakheel PJSC
Serenia District - West Residence,12761000,2515.941667,6,Palma Real Estate
Sierra by Iman,5514768.68,2204.313333,6,Iman Developers L.L.C
Avarra - Business Bay Palace Residences,23409622,3485.27,5,Emaar Properties PJSC
Chelsea 2 Tower C,15371610,3162.392,5,Damac Properties
One by Binghatti,17124995,3276.774,5,Binghatti Holding Limited
One Residence,12654000,3147.278,5,Ginco Properties L.L.C
Palm Central Residences B,27320000,3635.034,5,Nakheel PJSC
Peninsula Four Tower A,13181415,2572.826,5,Private Investor
SouleverTower 2 - Jumeirah Peninsula,20538740,3723.116,5,Omniyat Properties
Binghatti Ruby,3852495.8,2440.625,4,Binghatti Holding Limited
Coral by Vision,5628528.98,2284.1625,4,Vision Developments - Vision Platinum Real Estate Development
DWTN Residences - Downtown Residences,10154495,2801.1675,4,Deyaar Development Company
Evergrin House 2,6200111,2429.2225,4,TSZ Group - Object One Real Estate Development L.L.C
Flora Shore,10005820,2698.075,4,Calgary Properties LLC
Mansory Residences - AMAAL 8,9657664,2261.595,4,Amaal Emirates L.L.C
MBL Signature,8548448.05,2524.01,4,MAG Property Development
Albero,13021626,2349.013333,3,Emaar Properties PJSC
Aspirz Tower,2876330,2258.123333,3,Danube Properties
Bayz 101,5885400,2893.18,3,Danube Properties
Binghatti Pinnacle,7049997,2179.06,3,Binghatti Holding Limited
Creek Waters 2,7599407,2428.456667,3,Emaar Properties PJSC
Eden House The Park D,22655151.79,3891.996667,3,H&H Investment and Development
Elvira 2,8820000,2404.34,3,Emaar Properties PJSC
Evergrin House,4148831,2485.423333,3,TSZ Group - Object One Real Estate Development L.L.C
Expo City Al Waha Residences 02 Building 42,10695000,2565.36,3,Expo City
Mercedes Benz Places Binghatti City Tower 2 - Maybach Ultimate Luxury Tower A,7001000,3780.35,3,Binghatti Holding Limited
Rosehill Block B,4965664,2208.84,3,Emaar Properties PJSC
Rove Home Dubai Marina,4303700,3273.363333,3,IRTH Development L.L.C
